Category;Order Date;Segment;Sales Target
Office Supplies;2018-04-04;Home Office;110 
Furniture;2018-04-04;Home Office;100 
Furniture;2018-04-05;Home Office;962 
Furniture;2018-04-05;Corporate;919 
Office Supplies;2018-04-05;Home Office;571 
Technology;2018-04-05;Consumer;238 
Office Supplies;2018-04-05;Corporate;172 
Technology;2018-04-05;Home Office;59 
Office Supplies;2018-04-05;Consumer;48 
Office Supplies;2018-04-06;Consumer;118 
Technology;2018-04-06;Consumer;24 
Office Supplies;2018-04-07;Consumer;496 
Technology;2018-04-07;Consumer;407 
Office Supplies;2018-04-07;Home Office;10 
Furniture;2018-04-09;Consumer;363 
Office Supplies;2018-04-09;Consumer;338 
Office Supplies;2018-04-10;Home Office;168 
Office Supplies;2018-04-10;Corporate;14 
Technology;2018-04-11;Consumer;755 
Office Supplies;2018-04-11;Consumer;487 
Furniture;2018-04-11;Consumer;105 
Office Supplies;2018-04-12;Home Office;41 
Furniture;2018-04-13;Consumer;1508 
Technology;2018-04-13;Consumer;809 
Technology;2018-04-13;Corporate;248 
Office Supplies;2018-04-13;Home Office;88 
Office Supplies;2018-04-13;Corporate;80 
Office Supplies;2018-04-13;Consumer;45 
Furniture;2018-04-13;Corporate;41 
Office Supplies;2018-04-14;Consumer;35 
Technology;2018-04-16;Consumer;2156 
Furniture;2018-04-16;Consumer;1548 
Office Supplies;2018-04-16;Corporate;130 
Furniture;2018-04-16;Corporate;109 
Technology;2018-04-16;Corporate;105 
Office Supplies;2018-04-16;Consumer;9 
Office Supplies;2018-04-17;Consumer;1507 
Technology;2018-04-17;Consumer;1122 
Office Supplies;2018-04-18;Home Office;858 
Technology;2018-04-18;Corporate;334 
Office Supplies;2018-04-18;Consumer;223 
Technology;2018-04-18;Consumer;99 
Office Supplies;2018-04-18;Corporate;96 
Furniture;2018-04-18;Consumer;94 
Furniture;2018-04-18;Corporate;61 
Office Supplies;2018-04-19;Consumer;290 
Furniture;2018-04-20;Corporate;578 
Office Supplies;2018-04-20;Consumer;325 
Technology;2018-04-20;Corporate;311 
Office Supplies;2018-04-20;Corporate;12 
Technology;2018-04-21;Consumer;404 
Furniture;2018-04-21;Consumer;346 
Office Supplies;2018-04-21;Consumer;19 
Technology;2018-04-22;Consumer;77 
Office Supplies;2018-04-22;Consumer;61 
Office Supplies;2018-04-24;Home Office;23 
Office Supplies;2018-04-25;Consumer;705 
Furniture;2018-04-25;Consumer;113 
Office Supplies;2018-04-25;Corporate;33 
Furniture;2018-04-26;Consumer;1514 
Technology;2018-04-26;Corporate;290 
Office Supplies;2018-04-26;Corporate;112 
Office Supplies;2018-04-26;Consumer;78 
Furniture;2018-04-26;Corporate;66 
Technology;2018-04-27;Consumer;1490 
Furniture;2018-04-27;Consumer;1382 
Office Supplies;2018-04-27;Home Office;45 
Office Supplies;2018-04-27;Consumer;24 
Office Supplies;2018-04-28;Home Office;4000 
Office Supplies;2018-04-28;Consumer;42 
Office Supplies;2018-04-29;Home Office;8 
Technology;2018-04-30;Consumer;900 
Furniture;2018-04-30;Home Office;213 
Technology;2018-04-30;Corporate;204 
Furniture;2018-04-30;Corporate;72 
Office Supplies;2018-04-30;Corporate;40 
Office Supplies;2018-05-01;Corporate;227 
Technology;2018-05-01;Corporate;95 
Office Supplies;2018-05-01;Consumer;72 
Furniture;2018-05-01;Corporate;64 
Technology;2018-05-02;Corporate;141 
Office Supplies;2018-05-02;Corporate;9 
Furniture;2018-05-03;Consumer;836 
Furniture;2018-05-03;Home Office;593 
Technology;2018-05-03;Consumer;360 
Office Supplies;2018-05-03;Consumer;314 
Office Supplies;2018-05-03;Home Office;14 
Technology;2018-05-04;Corporate;994 
Office Supplies;2018-05-04;Corporate;128 
Furniture;2018-05-04;Corporate;47 
Furniture;2018-05-07;Consumer;264 
Office Supplies;2018-05-07;Consumer;55 
Technology;2018-05-08;Consumer;2828 
Office Supplies;2018-05-08;Consumer;465 
Furniture;2018-05-08;Consumer;301 
Office Supplies;2018-05-08;Home Office;41 
Furniture;2018-05-08;Corporate;7 
Office Supplies;2018-05-09;Consumer;46 
Office Supplies;2018-05-10;Home Office;107 
Technology;2018-05-10;Consumer;46 
Furniture;2018-05-11;Home Office;198 
Technology;2018-05-12;Consumer;829 
Office Supplies;2018-05-12;Consumer;213 
Furniture;2018-05-12;Consumer;23 
Technology;2018-05-13;Home Office;229 
Office Supplies;2018-05-13;Home Office;16 
Furniture;2018-05-14;Corporate;1235 
Office Supplies;2018-05-14;Consumer;1163 
Office Supplies;2018-05-14;Home Office;502 
Office Supplies;2018-05-15;Corporate;73 
Technology;2018-05-16;Home Office;266 
Office Supplies;2018-05-17;Consumer;89 
Office Supplies;2018-05-17;Corporate;51 
Office Supplies;2018-05-18;Corporate;10 
Furniture;2018-05-20;Consumer;155 
Office Supplies;2018-05-20;Consumer;6 
Office Supplies;2018-05-21;Corporate;53 
Office Supplies;2018-05-21;Consumer;21 
Technology;2018-05-22;Consumer;3337 
Office Supplies;2018-05-22;Consumer;104 
Office Supplies;2018-05-23;Home Office;757 
Office Supplies;2018-05-23;Corporate;231 
Office Supplies;2018-05-23;Consumer;149 
Furniture;2018-05-23;Home Office;69 
Furniture;2018-05-24;Consumer;518 
Office Supplies;2018-05-24;Consumer;8 
Office Supplies;2018-05-25;Consumer;719 
Technology;2018-05-25;Corporate;601 
Office Supplies;2018-05-25;Home Office;128 
Office Supplies;2018-05-25;Corporate;60 
Furniture;2018-05-25;Home Office;13 
Technology;2018-05-26;Consumer;380 
Furniture;2018-05-26;Consumer;208 
Technology;2018-05-26;Home Office;166 
Office Supplies;2018-05-26;Home Office;160 
Office Supplies;2018-05-28;Consumer;660 
Technology;2018-05-28;Consumer;42 
Office Supplies;2018-05-28;Home Office;6 
Office Supplies;2018-05-29;Consumer;663 
Furniture;2018-05-29;Corporate;394 
Office Supplies;2018-05-29;Home Office;77 
Office Supplies;2018-05-29;Corporate;8 
Technology;2018-05-30;Consumer;387 
Technology;2018-05-30;Home Office;166 
Office Supplies;2018-05-30;Consumer;143 
Furniture;2018-05-31;Consumer;4213 
Office Supplies;2018-05-31;Corporate;688 
Office Supplies;2018-05-31;Consumer;300 
Furniture;2018-05-31;Corporate;61 
Furniture;2018-05-31;Home Office;24 
Office Supplies;2018-05-31;Home Office;7 
Office Supplies;2018-06-01;Consumer;467 
Technology;2018-06-01;Consumer;294 
Office Supplies;2018-06-01;Corporate;51 
Office Supplies;2018-06-01;Home Office;10 
Technology;2018-06-04;Consumer;1088 
Furniture;2018-06-04;Home Office;34 
Office Supplies;2018-06-04;Home Office;28 
Office Supplies;2018-06-04;Consumer;16 
Furniture;2018-06-05;Corporate;1294 
Office Supplies;2018-06-05;Corporate;9 
Office Supplies;2018-06-07;Home Office;50 
Office Supplies;2018-06-07;Corporate;7 
Office Supplies;2018-06-08;Corporate;841 
Furniture;2018-06-08;Corporate;182 
Office Supplies;2018-06-08;Consumer;123 
Technology;2018-06-08;Consumer;2 
Furniture;2018-06-09;Consumer;327 
Technology;2018-06-09;Consumer;181 
Office Supplies;2018-06-09;Consumer;115 
Office Supplies;2018-06-09;Home Office;100 
Office Supplies;2018-06-11;Corporate;1709 
Furniture;2018-06-11;Corporate;1161 
Technology;2018-06-11;Corporate;227 
Office Supplies;2018-06-11;Consumer;137 
Technology;2018-06-11;Consumer;55 
Furniture;2018-06-11;Consumer;32 
Technology;2018-06-12;Consumer;49 
Office Supplies;2018-06-12;Consumer;47 
Furniture;2018-06-12;Consumer;43 
Office Supplies;2018-06-12;Home Office;27 
Technology;2018-06-13;Corporate;810 
Office Supplies;2018-06-13;Corporate;73 
Technology;2018-06-13;Home Office;63 
Office Supplies;2018-06-13;Consumer;39 
Office Supplies;2018-06-13;Home Office;39 
Furniture;2018-06-14;Home Office;50 
Furniture;2018-06-15;Consumer;425 
Technology;2018-06-15;Corporate;221 
Office Supplies;2018-06-15;Consumer;79 
Technology;2018-06-15;Consumer;12 
Office Supplies;2018-06-16;Consumer;3362 
Furniture;2018-06-16;Consumer;201 
Technology;2018-06-16;Consumer;125 
Furniture;2018-06-18;Corporate;656 
Office Supplies;2018-06-18;Consumer;615 
Technology;2018-06-18;Consumer;505 
Furniture;2018-06-18;Home Office;68 
Furniture;2018-06-18;Consumer;60 
Office Supplies;2018-06-18;Corporate;38 
Office Supplies;2018-06-18;Home Office;23 
Office Supplies;2018-06-19;Home Office;219 
Office Supplies;2018-06-19;Consumer;211 
Furniture;2018-06-19;Consumer;11 
Technology;2018-06-20;Home Office;282 
Furniture;2018-06-20;Corporate;227 
Technology;2018-06-20;Corporate;128 
Technology;2018-06-20;Consumer;118 
Technology;2018-06-21;Consumer;93 
Office Supplies;2018-06-22;Consumer;1174 
Furniture;2018-06-22;Home Office;765 
Technology;2018-06-23;Consumer;569 
Office Supplies;2018-06-23;Corporate;148 
Technology;2018-06-23;Corporate;65 
Furniture;2018-06-23;Corporate;27 
Office Supplies;2018-06-23;Consumer;5 
Office Supplies;2018-06-25;Consumer;453 
Furniture;2018-06-25;Consumer;241 
Office Supplies;2018-06-25;Home Office;115 
Technology;2018-06-26;Consumer;933 
Furniture;2018-06-26;Consumer;366 
Office Supplies;2018-06-26;Consumer;182 
Office Supplies;2018-06-26;Home Office;46 
Technology;2018-06-26;Corporate;36 
Furniture;2018-06-28;Corporate;950 
Office Supplies;2018-06-28;Home Office;245 
Office Supplies;2018-06-28;Corporate;20 
Technology;2018-06-29;Home Office;243 
Furniture;2018-06-29;Consumer;124 
Office Supplies;2018-06-29;Consumer;26 
Furniture;2018-07-02;Consumer;870 
Office Supplies;2018-07-02;Consumer;604 
Furniture;2018-07-02;Corporate;142 
Technology;2018-07-02;Corporate;77 
Office Supplies;2018-07-02;Home Office;17 
Office Supplies;2018-07-02;Corporate;13 
Furniture;2018-07-03;Corporate;429 
Office Supplies;2018-07-03;Consumer;321 
Furniture;2018-07-03;Consumer;63 
Office Supplies;2018-07-03;Corporate;6 
Technology;2018-07-04;Consumer;1111 
Office Supplies;2018-07-04;Home Office;39 
Office Supplies;2018-07-05;Consumer;33 
Technology;2018-07-05;Consumer;30 
Office Supplies;2018-07-05;Corporate;21 
Office Supplies;2018-07-05;Home Office;18 
Furniture;2018-07-05;Corporate;9 
Office Supplies;2018-07-06;Corporate;533 
Furniture;2018-07-06;Home Office;329 
Furniture;2018-07-06;Consumer;175 
Furniture;2018-07-06;Corporate;153 
Technology;2018-07-06;Corporate;114 
Office Supplies;2018-07-08;Consumer;19 
Technology;2018-07-09;Consumer;772 
Office Supplies;2018-07-09;Consumer;418 
Furniture;2018-07-09;Consumer;187 
Office Supplies;2018-07-09;Corporate;183 
Office Supplies;2018-07-10;Consumer;39 
Technology;2018-07-11;Corporate;687 
Furniture;2018-07-11;Consumer;643 
Office Supplies;2018-07-11;Corporate;243 
Furniture;2018-07-11;Corporate;216 
Office Supplies;2018-07-11;Consumer;140 
Technology;2018-07-12;Consumer;1504 
Furniture;2018-07-12;Consumer;423 
Office Supplies;2018-07-12;Consumer;8 
Furniture;2018-07-13;Consumer;2028 
Office Supplies;2018-07-13;Home Office;41 
Office Supplies;2018-07-13;Corporate;33 
Office Supplies;2018-07-13;Consumer;21 
Furniture;2018-07-14;Consumer;553 
Office Supplies;2018-07-14;Consumer;285 
Furniture;2018-07-16;Corporate;2090 
Technology;2018-07-16;Corporate;510 
Furniture;2018-07-16;Home Office;151 
Office Supplies;2018-07-16;Home Office;147 
Office Supplies;2018-07-16;Corporate;89 
Furniture;2018-07-17;Corporate;232 
Furniture;2018-07-17;Consumer;199 
Office Supplies;2018-07-17;Corporate;22 
Technology;2018-07-18;Consumer;571 
Furniture;2018-07-18;Consumer;7 
Office Supplies;2018-07-18;Corporate;6 
Office Supplies;2018-07-18;Consumer;4 
Office Supplies;2018-07-19;Consumer;2 
Furniture;2018-07-20;Consumer;1130 
Technology;2018-07-20;Consumer;1073 
Office Supplies;2018-07-20;Consumer;390 
Furniture;2018-07-23;Home Office;115 
Office Supplies;2018-07-23;Home Office;63 
Office Supplies;2018-07-23;Consumer;11 
Technology;2018-07-24;Home Office;305 
Office Supplies;2018-07-24;Home Office;232 
Furniture;2018-07-24;Home Office;19 
Furniture;2018-07-25;Consumer;1355 
Technology;2018-07-25;Consumer;649 
Furniture;2018-07-25;Corporate;369 
Office Supplies;2018-07-25;Corporate;106 
Office Supplies;2018-07-25;Home Office;26 
Office Supplies;2018-07-25;Consumer;19 
Furniture;2018-07-26;Consumer;354 
Furniture;2018-07-26;Corporate;290 
Office Supplies;2018-07-26;Consumer;166 
Office Supplies;2018-07-26;Corporate;122 
Technology;2018-07-27;Consumer;30 
Technology;2018-07-30;Consumer;178 
Furniture;2018-07-30;Home Office;164 
Office Supplies;2018-07-30;Corporate;53 
Office Supplies;2018-07-30;Consumer;11 
Furniture;2018-07-30;Consumer;5 
Technology;2018-07-31;Consumer;2171 
Furniture;2018-07-31;Consumer;1091 
Technology;2018-07-31;Corporate;223 
Office Supplies;2018-07-31;Corporate;57 
Office Supplies;2018-07-31;Consumer;18 
Furniture;2018-08-01;Home Office;1035 
Office Supplies;2018-08-01;Home Office;7 
Technology;2018-08-02;Consumer;547 
Technology;2018-08-02;Home Office;322 
Furniture;2018-08-02;Consumer;283 
Furniture;2018-08-02;Home Office;95 
Office Supplies;2018-08-02;Home Office;8 
Office Supplies;2018-08-02;Consumer;6 
Office Supplies;2018-08-05;Corporate;58 
Furniture;2018-08-05;Corporate;13 
Furniture;2018-08-06;Corporate;373 
Office Supplies;2018-08-06;Corporate;132 
Technology;2018-08-07;Corporate;455 
Furniture;2018-08-07;Consumer;228 
Office Supplies;2018-08-07;Consumer;122 
Office Supplies;2018-08-07;Corporate;92 
Office Supplies;2018-08-07;Home Office;20 
Office Supplies;2018-08-08;Consumer;591 
Furniture;2018-08-08;Consumer;133 
Technology;2018-08-08;Consumer;85 
Technology;2018-08-09;Consumer;1336 
Office Supplies;2018-08-09;Consumer;1216 
Furniture;2018-08-09;Home Office;632 
Furniture;2018-08-09;Corporate;626 
Furniture;2018-08-09;Consumer;375 
Office Supplies;2018-08-09;Corporate;187 
Technology;2018-08-10;Consumer;497 
Office Supplies;2018-08-10;Consumer;186 
Office Supplies;2018-08-10;Home Office;79 
Technology;2018-08-11;Home Office;149 
Furniture;2018-08-11;Consumer;45 
Office Supplies;2018-08-11;Home Office;11 
Office Supplies;2018-08-13;Consumer;396 
Office Supplies;2018-08-13;Corporate;115 
Furniture;2018-08-13;Consumer;29 
Office Supplies;2018-08-15;Corporate;307 
Furniture;2018-08-15;Consumer;115 
Office Supplies;2018-08-15;Consumer;67 
Technology;2018-08-16;Consumer;1955 
Technology;2018-08-16;Corporate;512 
Office Supplies;2018-08-16;Consumer;321 
Furniture;2018-08-16;Consumer;289 
Furniture;2018-08-16;Corporate;252 
Office Supplies;2018-08-16;Corporate;27 
Technology;2018-08-17;Consumer;286 
Office Supplies;2018-08-17;Corporate;48 
Office Supplies;2018-08-17;Consumer;47 
Furniture;2018-08-21;Corporate;1320 
Office Supplies;2018-08-21;Home Office;940 
Furniture;2018-08-21;Home Office;522 
Office Supplies;2018-08-21;Corporate;131 
Technology;2018-08-21;Home Office;22 
Office Supplies;2018-08-22;Corporate;45 
Office Supplies;2018-08-22;Home Office;16 
Office Supplies;2018-08-23;Consumer;1017 
Technology;2018-08-23;Consumer;254 
Technology;2018-08-24;Consumer;3511 
Office Supplies;2018-08-24;Consumer;1893 
Furniture;2018-08-24;Consumer;906 
Furniture;2018-08-24;Corporate;287 
Technology;2018-08-24;Corporate;24 
Office Supplies;2018-08-25;Home Office;113 
Furniture;2018-08-25;Home Office;38 
Furniture;2018-08-25;Consumer;28 
Office Supplies;2018-08-25;Consumer;4 
Office Supplies;2018-08-27;Consumer;578 
Office Supplies;2018-08-27;Home Office;5 
Technology;2018-08-28;Corporate;3939 
Office Supplies;2018-08-28;Consumer;1629 
Office Supplies;2018-08-28;Corporate;484 
Furniture;2018-08-28;Consumer;302 
Furniture;2018-08-28;Corporate;88 
Technology;2018-08-28;Consumer;39 
Technology;2018-08-29;Home Office;266 
Furniture;2018-08-31;Corporate;1537 
Technology;2018-08-31;Home Office;556 
Technology;2018-08-31;Corporate;293 
Office Supplies;2018-08-31;Corporate;126 
Office Supplies;2018-08-31;Consumer;62 
Office Supplies;2018-08-31;Home Office;23 
Office Supplies;2018-09-01;Home Office;1324 
Technology;2018-09-01;Consumer;835 
Furniture;2018-09-01;Home Office;168 
Office Supplies;2018-09-01;Consumer;18 
Office Supplies;2018-09-03;Consumer;793 
Office Supplies;2018-09-03;Corporate;539 
Technology;2018-09-03;Corporate;248 
Furniture;2018-09-03;Corporate;210 
Furniture;2018-09-03;Home Office;131 
Office Supplies;2018-09-03;Home Office;6 
Technology;2018-09-04;Consumer;608 
Office Supplies;2018-09-04;Consumer;306 
Technology;2018-09-04;Corporate;117 
Office Supplies;2018-09-04;Corporate;18 
Furniture;2018-09-05;Consumer;747 
Office Supplies;2018-09-05;Home Office;94 
Furniture;2018-09-05;Home Office;65 
Office Supplies;2018-09-05;Corporate;32 
Office Supplies;2018-09-05;Consumer;27 
Furniture;2018-09-05;Corporate;6 
Furniture;2018-09-06;Home Office;459 
Technology;2018-09-06;Corporate;396 
Furniture;2018-09-06;Consumer;81 
Office Supplies;2018-09-06;Corporate;58 
Office Supplies;2018-09-06;Home Office;10 
Technology;2018-09-07;Corporate;873 
Office Supplies;2018-09-07;Consumer;652 
Technology;2018-09-07;Home Office;554 
Furniture;2018-09-07;Corporate;500 
Office Supplies;2018-09-07;Corporate;244 
Furniture;2018-09-07;Consumer;74 
Office Supplies;2018-09-08;Consumer;65 
Furniture;2018-09-08;Corporate;19 
Furniture;2018-09-10;Corporate;584 
Office Supplies;2018-09-10;Consumer;371 
Office Supplies;2018-09-10;Corporate;296 
Office Supplies;2018-09-11;Corporate;1218 
Office Supplies;2018-09-11;Home Office;359 
Furniture;2018-09-11;Corporate;231 
Office Supplies;2018-09-11;Consumer;209 
Technology;2018-09-11;Corporate;18 
Furniture;2018-09-11;Home Office;10 
Technology;2018-09-12;Consumer;452 
Office Supplies;2018-09-12;Consumer;214 
Furniture;2018-09-13;Consumer;1834 
Furniture;2018-09-13;Corporate;1135 
Office Supplies;2018-09-13;Corporate;214 
Technology;2018-09-13;Consumer;192 
Office Supplies;2018-09-13;Consumer;81 
Office Supplies;2018-09-14;Consumer;1261 
Technology;2018-09-14;Consumer;898 
Furniture;2018-09-14;Consumer;794 
Furniture;2018-09-14;Corporate;184 
Office Supplies;2018-09-14;Home Office;23 
Furniture;2018-09-15;Consumer;1617 
Office Supplies;2018-09-15;Corporate;295 
Office Supplies;2018-09-15;Consumer;200 
Furniture;2018-09-15;Corporate;119 
Technology;2018-09-15;Consumer;53 
Office Supplies;2018-09-16;Consumer;30 
Furniture;2018-09-17;Consumer;9254 
Technology;2018-09-17;Consumer;994 
Office Supplies;2018-09-17;Consumer;430 
Furniture;2018-09-17;Home Office;372 
Office Supplies;2018-09-17;Corporate;31 
Office Supplies;2018-09-17;Home Office;28 
Furniture;2018-09-17;Corporate;24 
Technology;2018-09-18;Corporate;2551 
Office Supplies;2018-09-18;Corporate;718 
Office Supplies;2018-09-18;Consumer;550 
Furniture;2018-09-18;Corporate;22 
Office Supplies;2018-09-18;Home Office;17 
Technology;2018-09-19;Consumer;274 
Furniture;2018-09-19;Home Office;118 
Technology;2018-09-19;Corporate;67 
Office Supplies;2018-09-19;Corporate;21 
Office Supplies;2018-09-19;Home Office;7 
Office Supplies;2018-09-20;Consumer;1610 
Office Supplies;2018-09-20;Corporate;88 
Furniture;2018-09-21;Consumer;1622 
Office Supplies;2018-09-21;Consumer;1328 
Technology;2018-09-21;Corporate;1196 
Furniture;2018-09-21;Home Office;1144 
Technology;2018-09-21;Consumer;811 
Technology;2018-09-21;Home Office;507 
Furniture;2018-09-21;Corporate;185 
Office Supplies;2018-09-21;Corporate;24 
Office Supplies;2018-09-21;Home Office;8 
Office Supplies;2018-09-22;Home Office;748 
Technology;2018-09-22;Consumer;612 
Furniture;2018-09-22;Consumer;223 
Office Supplies;2018-09-22;Corporate;68 
Office Supplies;2018-09-22;Consumer;57 
Furniture;2018-09-22;Home Office;53 
Furniture;2018-09-24;Home Office;1225 
Office Supplies;2018-09-24;Corporate;1060 
Technology;2018-09-24;Home Office;715 
Furniture;2018-09-24;Consumer;450 
Office Supplies;2018-09-24;Consumer;213 
Technology;2018-09-24;Consumer;51 
Office Supplies;2018-09-24;Home Office;17 
Furniture;2018-09-24;Corporate;13 
Furniture;2018-09-25;Consumer;1182 
Technology;2018-09-25;Corporate;1155 
Furniture;2018-09-25;Corporate;292 
Office Supplies;2018-09-25;Consumer;259 
Technology;2018-09-25;Home Office;172 
Office Supplies;2018-09-25;Corporate;33 
Office Supplies;2018-09-25;Home Office;12 
Technology;2018-09-26;Consumer;2226 
Office Supplies;2018-09-26;Corporate;796 
Office Supplies;2018-09-26;Consumer;450 
Technology;2018-09-26;Corporate;253 
Office Supplies;2018-09-26;Home Office;194 
Technology;2018-09-27;Consumer;2059 
Office Supplies;2018-09-27;Home Office;175 
Office Supplies;2018-09-27;Corporate;150 
Office Supplies;2018-09-27;Consumer;146 
Furniture;2018-09-27;Consumer;27 
Office Supplies;2018-09-28;Corporate;378 
Office Supplies;2018-09-28;Consumer;321 
Technology;2018-09-28;Consumer;308 
Technology;2018-09-28;Corporate;34 
Technology;2018-10-01;Consumer;586 
Technology;2018-10-01;Home Office;337 
Office Supplies;2018-10-01;Corporate;130 
Office Supplies;2018-10-01;Home Office;23 
Office Supplies;2018-10-01;Consumer;3 
Technology;2018-10-02;Consumer;501 
Office Supplies;2018-10-02;Home Office;236 
Office Supplies;2018-10-02;Corporate;217 
Office Supplies;2018-10-02;Consumer;108 
Technology;2018-10-02;Corporate;86 
Furniture;2018-10-02;Consumer;12 
Furniture;2018-10-03;Consumer;141 
Technology;2018-10-03;Consumer;66 
Office Supplies;2018-10-03;Consumer;34 
Office Supplies;2018-10-03;Corporate;13 
Furniture;2018-10-04;Corporate;409 
Furniture;2018-10-04;Home Office;67 
Office Supplies;2018-10-04;Consumer;30 
Office Supplies;2018-10-04;Home Office;21 
Furniture;2018-10-05;Consumer;390 
Technology;2018-10-05;Consumer;297 
Office Supplies;2018-10-05;Home Office;68 
Office Supplies;2018-10-05;Corporate;67 
Furniture;2018-10-08;Consumer;127 
Furniture;2018-10-08;Corporate;62 
Office Supplies;2018-10-08;Consumer;3 
Technology;2018-10-09;Corporate;701 
Technology;2018-10-09;Consumer;613 
Furniture;2018-10-09;Consumer;421 
Office Supplies;2018-10-09;Consumer;409 
Office Supplies;2018-10-09;Corporate;81 
Office Supplies;2018-10-10;Consumer;1611 
Furniture;2018-10-10;Corporate;333 
Office Supplies;2018-10-10;Corporate;84 
Furniture;2018-10-11;Consumer;977 
Technology;2018-10-11;Consumer;30 
Office Supplies;2018-10-11;Consumer;20 
Furniture;2018-10-12;Home Office;1464 
Technology;2018-10-12;Consumer;388 
Furniture;2018-10-12;Consumer;229 
Office Supplies;2018-10-12;Consumer;82 
Office Supplies;2018-10-12;Home Office;66 
Technology;2018-10-12;Home Office;62 
Furniture;2018-10-13;Consumer;317 
Technology;2018-10-13;Consumer;71 
Furniture;2018-10-15;Consumer;2654 
Technology;2018-10-15;Home Office;296 
Technology;2018-10-15;Consumer;277 
Office Supplies;2018-10-15;Home Office;9 
Office Supplies;2018-10-15;Consumer;5 
Technology;2018-10-16;Corporate;734 
Office Supplies;2018-10-17;Consumer;86 
Technology;2018-10-18;Consumer;245 
Office Supplies;2018-10-18;Home Office;71 
Technology;2018-10-18;Home Office;29 
Office Supplies;2018-10-18;Consumer;19 
Furniture;2018-10-18;Consumer;9 
Office Supplies;2018-10-19;Home Office;1739 
Technology;2018-10-19;Home Office;232 
Technology;2018-10-19;Corporate;141 
Office Supplies;2018-10-19;Consumer;38 
Office Supplies;2018-10-19;Corporate;36 
Furniture;2018-10-20;Consumer;387 
Technology;2018-10-20;Corporate;245 
Office Supplies;2018-10-20;Consumer;21 
Furniture;2018-10-20;Corporate;16 
Office Supplies;2018-10-22;Consumer;16 
Furniture;2018-10-23;Consumer;1313 
Technology;2018-10-23;Consumer;762 
Office Supplies;2018-10-23;Consumer;139 
Office Supplies;2018-10-23;Corporate;3 
Furniture;2018-10-24;Home Office;441 
Furniture;2018-10-24;Corporate;368 
Office Supplies;2018-10-24;Corporate;23 
Office Supplies;2018-10-24;Home Office;3 
Furniture;2018-10-25;Corporate;812 
Furniture;2018-10-25;Consumer;243 
Technology;2018-10-25;Corporate;138 
Office Supplies;2018-10-25;Consumer;133 
Office Supplies;2018-10-26;Corporate;1087 
Technology;2018-10-26;Corporate;162 
Furniture;2018-10-28;Consumer;57 
Office Supplies;2018-10-28;Consumer;49 
Office Supplies;2018-10-29;Corporate;234 
Technology;2018-10-30;Corporate;1478 
Technology;2018-10-30;Home Office;261 
Office Supplies;2018-10-30;Consumer;161 
Furniture;2018-10-30;Corporate;14 
Technology;2018-10-31;Consumer;1153 
Furniture;2018-10-31;Consumer;749 
Office Supplies;2018-10-31;Consumer;660 
Office Supplies;2018-10-31;Corporate;436 
Office Supplies;2018-10-31;Home Office;76 
Technology;2018-11-01;Consumer;2025 
Furniture;2018-11-01;Consumer;952 
Technology;2018-11-01;Home Office;30 
Office Supplies;2018-11-01;Consumer;21 
Technology;2018-11-01;Corporate;4 
Office Supplies;2018-11-01;Home Office;3 
Furniture;2018-11-02;Home Office;2333 
Furniture;2018-11-02;Consumer;1547 
Technology;2018-11-02;Consumer;421 
Technology;2018-11-02;Corporate;345 
Office Supplies;2018-11-02;Consumer;304 
Office Supplies;2018-11-02;Corporate;26 
Furniture;2018-11-03;Corporate;1449 
Technology;2018-11-03;Home Office;1316 
Furniture;2018-11-03;Home Office;46 
Office Supplies;2018-11-03;Corporate;6 
Office Supplies;2018-11-05;Consumer;597 
Furniture;2018-11-05;Corporate;186 
Office Supplies;2018-11-05;Corporate;23 
Office Supplies;2018-11-06;Consumer;13 
Office Supplies;2018-11-07;Corporate;1306 
Furniture;2018-11-07;Consumer;772 
Office Supplies;2018-11-07;Consumer;359 
Technology;2018-11-07;Consumer;245 
Furniture;2018-11-07;Corporate;196 
Technology;2018-11-08;Corporate;5246 
Furniture;2018-11-08;Corporate;4549 
Technology;2018-11-08;Consumer;598 
Office Supplies;2018-11-08;Consumer;546 
Technology;2018-11-08;Home Office;316 
Furniture;2018-11-08;Consumer;251 
Office Supplies;2018-11-08;Corporate;145 
Office Supplies;2018-11-08;Home Office;5 
Technology;2018-11-09;Home Office;2299 
Technology;2018-11-09;Consumer;923 
Furniture;2018-11-09;Consumer;912 
Office Supplies;2018-11-09;Consumer;326 
Office Supplies;2018-11-09;Home Office;34 
Office Supplies;2018-11-10;Home Office;1475 
Office Supplies;2018-11-10;Corporate;786 
Office Supplies;2018-11-10;Consumer;635 
Technology;2018-11-10;Home Office;467 
Technology;2018-11-10;Consumer;84 
Furniture;2018-11-10;Home Office;26 
Office Supplies;2018-11-11;Corporate;558 
Furniture;2018-11-12;Corporate;677 
Office Supplies;2018-11-12;Corporate;352 
Technology;2018-11-12;Corporate;92 
Office Supplies;2018-11-12;Consumer;15 
Furniture;2018-11-13;Consumer;1666 
Technology;2018-11-13;Consumer;826 
Office Supplies;2018-11-13;Consumer;552 
Technology;2018-11-13;Home Office;296 
Furniture;2018-11-13;Home Office;63 
Furniture;2018-11-14;Consumer;1012 
Office Supplies;2018-11-14;Corporate;815 
Technology;2018-11-14;Corporate;310 
Technology;2018-11-14;Home Office;48 
Office Supplies;2018-11-14;Consumer;20 
Office Supplies;2018-11-15;Corporate;709 
